n,bitmatrix,k2tree
4,3100,3700
8,500,1500
16,1000,9000
32,3600,1300
64,25100,6100
128,61800,4700
256,315300,5200
512,357800,3800
1024,3154200,17300
2048,10644200,10700
4096,18463500,8400
4,7700,6300
8,500,4100
16,2700,9100
32,6400,5000
64,3900,3300
128,15200,1700
256,69700,3900
512,80500,7200
1024,1931600,9100
2048,1449700,4200
4096,58339000,11900
4,8500,3000
8,1200,5000
16,1800,2100
32,2700,4200
64,12800,2100
128,21100,8800
256,282900,3700
512,648300,4700
1024,5057400,3500
2048,3170000,13500
4096,55954700,18500
4,7700,6100
8,1100,5500
16,2100,12300
32,1800,4300
64,26700,2200
128,11200,1600
256,312400,7800
512,1849600,13800
1024,2473900,6200
2048,14903100,25800
4096,32059400,14400
4,3100,3200
8,700,5200
16,900,3500
32,6600,5400
64,1100,7100
128,40900,4300
256,75200,3900
512,1111400,3000
1024,994800,3700
2048,21933800,14000
4096,74400900,9000
4,3300,3300
8,900,7400
16,1200,7400
32,3300,1600
64,8800,47100
128,57100,5000
256,268000,5300
512,35400,3900
1024,3302900,14200
2048,19137900,7700
4096,27429700,7700
4,3100,4700
8,800,5800
16,1300,4200
32,4400,5100
64,3500,1800
128,89700,1900
256,237500,5500
512,625000,4700
1024,4916200,3300
2048,1971900,15200
4096,70509800,9300
4,3100,3800
8,900,2100
16,1000,3600
32,700,1200
64,14900,8500
128,15300,3000
256,45300,3000
512,1377000,3000
1024,835900,4000
2048,4664700,9200
4096,76869100,24800
4,3600,4000
8,600,3000
16,1800,17100
32,5500,9600
64,7500,7900
128,44000,5700
256,259400,4600
512,841500,4000
1024,3576800,11500
2048,8154900,19700
4096,19427800,10300
